review_id,product_id,product_name,reviewer_company_size,source_platform,review_date,overall_rating,topic_id,probability,text_field,text
12716143,ACU-ERP-001,Acumatica,enterprise,g2,2026-04-29T16:23:35.347-05:00,5.0,8,0.0514,dislikes,"Honestly, there isn’t much to dislike, but the process of migrating from our old system was complex, especially consolidating customers from multiple databases. Integrating new acquisitions and handling multi-currency, multi-tenant setups required extra effort and some creative workarounds, but Acumatica’s flexibility helped us address these challenges. I’d also say that while AI features are promising, we’re still exploring their full potential."
12643433,ACU-ERP-001,Acumatica,small-business,g2,2026-04-16T20:05:00.821-05:00,5.0,8,0.1833,dislikes,"So far, our Support Team hasn't told us ""NO"" to any request or scenario we have asked to implement. It is our mission to someday stump the Team, but so far Acumatica has handled all of our requests with no or minimal enhancements."
12478264,ACU-ERP-001,Acumatica,mid-market,g2,2026-03-13T17:05:00.868-05:00,5.0,26,1.0,dislikes,"Definitely not ""plug and play"", formal training is necessary and the system will take time to learn."
9166783,ACU-ERP-001,Acumatica,mid-market,g2,2026-01-26T23:39:37.567-06:00,4.5,5,0.5904,dislikes,"The richness of the product requires more serious support from Acumatica that we seem to have difficulty accessing, at times. We currently use Acumatica as our VAR, and they have structural issues that have led to a negative experience. The transition from Sage 100 was initially painful, taking 3 years to convert. Challenges came from end user non-participation and lack of serious commitment."
12703534,ACU-ERP-001,Acumatica,small-business,g2,2026-04-28T14:05:19.299-05:00,3.5,2,0.1121,dislikes,"Pricing can add up as we scale, especially once we started adding more modules. Some integrations also take more effort than we expected and aren't always as plug-and-play as we'd hope. The system can get a bit slow as we grow, and some pages with large amounts of data dont display properly on smaller screens, making them harder to use."
4309948,ACU-ERP-001,Acumatica,small-business,g2,2026-01-27T02:47:50.686-06:00,5.0,70,0.1625,dislikes,"Right now WMS is below par - we need to implement another software to be able to do license plating, freeze locations, do cycle counting etc."
12100308,ACU-ERP-001,Acumatica,mid-market,g2,2025-12-17T13:30:18.961-06:00,3.0,-1,0.1126,dislikes,"It can be a bit clunky at times, and to get any customization/changes done on the system can be a bit challenging"
12682345,ACU-ERP-001,Acumatica,small-business,g2,2026-04-24T08:05:01.007-05:00,3.5,0,1.0,dislikes,"I find the periods/months difficult to read, and the balance sheet and profit & loss don't have a standard template; everything needs to be tailor-made. The initial setup wasn't easy at all, every setting is so specific."
12270937,ACU-ERP-001,Acumatica,,g2,2026-01-28T16:32:54.791-06:00,1.5,8,1.0,dislikes,"It's difficult to use Acumatica to its fullest potential in my organization. The system has cumbersome reporting, so we rely heavily on external financials for reporting. The out-of-the-box reports do not work, and we struggle to address our issues within the system. Existing reports do not run, so we have to use ARM to create our own, and my team is not very savvy beyond Excel. Modules need to be set up individually, which adds too much overhead. Customizations that could improve operations, like dashboards and GIs and AI, require a coding background that my team lacks. It's hard to find a setting toggle or key item, which makes it almost unusable. We spend too much time looking for answers externally. There's minimal support for optimizing the software, and our business branches were set up in a non-GAAP compliant way, which complicates things. The initial setup was poor and we have to deal with these mistakes every day."
12266768,ACU-ERP-001,Acumatica,,g2,2026-01-27T22:00:39.237-06:00,5.0,0,0.3552,dislikes,"More reports available out of box at implementation are desperately needed-new customers learning a new system do NOT need to have to learn how to do a GI or master reporting software just to get the data they need. The report designer lacks much to be desired... complete overhaul is in order. Lack of basic out-of-box reports was a big headache and stressor. Knowing I had to reinvent the wheel, to get something I knew other customers also needed, was frustrating."
